Append Mode,1;;;;;;;;;;;;;;;;;;;;;;;;
Fill Mode,1;;;;;;;;;;;;;;;;;;;;;;;;
Capacity,10000;;;;;;;;;;;;;;;;;;;;;;;;
Count,51;;;;-1;1000000;;;;;;;;;;;;;;;;;;;
Base Time Seconds,1430124025;;;;;;;;;;;;;;;;;;;;;;;;
Base Time Fractional,678025452;;;;;;;;;;;;;;;;;;;;;;;;
Index,Reading,Unit,Range Digits,Disp Digits,Math,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds;;;;;;;;;;;;;;;;;;;;;;;;
29,0.0011001172243,Amp DC,.01,5.5,F,F,F,F,F,Front,F,Main,2.3998627662659,Volt DC,10,T,2W,F,F,04/27/2015,08:40:28,.794710999;;;;;;;;;;;;;;;;;;;;;;;;
30,0.0014826456318,Amp DC,.01,5.5,F,F,F,F,F,Front,F,Main,2.4498677253723,Volt DC,10,T,2W,F,F,04/27/2015,08:40:28,.878422999;;;;;;;;;;;;;;;;;;;;;;;;
31,0.0019622407854,Amp DC,.01,5.5,F,F,F,F,F,Front,F,Main,2.4999215602875,Volt DC,10,T,2W,F,F,04/27/2015,08:40:28,.962107999;;;;;;;;;;;;;;;;;;;;;;;;
32,0.0025529484265,Amp DC,.01,5.5,F,F,F,F,F,Front,F,Main,2.5495698451996,Volt DC,10,T,2W,F,F,04/27/2015,08:40:29,.045788000;;;;;;;;;;;;;;;;;;;;;;;;
33,0.0032849181443,Amp DC,.01,5.5,F,F,F,F,F,Front,F,Main,2.5996167659760,Volt DC,10,T,2W,F,F,04/27/2015,08:40:29,.129486000;;;;;;;;;;;;;;;;;;;;;;;;
34,0.0041743838228,Amp DC,.01,5.5,F,F,F,F,F,Front,F,Main,2.6495900154114,Volt DC,10,T,2W,F,F,04/27/2015,08:40:29,.213169893;;;;;;;;;;;;;;;;;;;;;;;;
35,0.0052450331859,Amp DC,.01,5.5,F,F,F,F,F,Front,F,Main,2.6996040344238,Volt DC,10,T,2W,F,F,04/27/2015,08:40:29,.296849393;;;;;;;;;;;;;;;;;;;;;;;;
36,0.0065168049186,Amp DC,.01,5.5,F,F,F,F,F,Front,F,Main,2.7496483325958,Volt DC,10,T,2W,F,F,04/27/2015,08:40:29,.380541893;;;;;;;;;;;;;;;;;;;;;;;;
37,0.0080067850649,Amp DC,.01,5.5,F,F,F,F,F,Front,F,Main,2.7996120452881,Volt DC,10,T,2W,F,F,04/27/2015,08:40:29,.464222893;;;;;;;;;;;;;;;;;;;;;;;;
38,0.0097334869206,Amp DC,.01,5.5,F,F,F,F,F,Front,F,Main,2.8496494293213,Volt DC,10,T,2W,F,F,04/27/2015,08:40:29,.547902393;;;;;;;;;;;;;;;;;;;;;;;;
39,0.0117407999933,Amp DC,.1,5.5,F,F,F,F,F,Front,F,Main,2.8998563289642,Volt DC,10,T,2W,F,F,04/27/2015,08:40:29,.784900498;;;;;;;;;;;;;;;;;;;;;;;;
40,0.0139652956277,Amp DC,.1,5.5,F,F,F,F,F,Front,F,Main,2.9496278762817,Volt DC,10,T,2W,F,F,04/27/2015,08:40:29,.868609998;;;;;;;;;;;;;;;;;;;;;;;;
41,0.0164692215621,Amp DC,.1,5.5,F,F,F,F,F,Front,F,Main,2.9996519088745,Volt DC,10,T,2W,F,F,04/27/2015,08:40:29,.952296998;;;;;;;;;;;;;;;;;;;;;;;;
42,0.0192383751273,Amp DC,.1,5.5,F,F,F,F,F,Front,F,Main,3.0496661663055,Volt DC,10,T,2W,F,F,04/27/2015,08:40:30,.035999500;;;;;;;;;;;;;;;;;;;;;;;;
43,0.0222784839571,Amp DC,.1,5.5,F,F,F,F,F,Front,F,Main,3.0997126102448,Volt DC,10,T,2W,F,F,04/27/2015,08:40:30,.119673000;;;;;;;;;;;;;;;;;;;;;;;;
44,0.0255819801241,Amp DC,.1,5.5,F,F,F,F,F,Front,F,Main,3.1497049331665,Volt DC,10,T,2W,F,F,04/27/2015,08:40:30,.203355500;;;;;;;;;;;;;;;;;;;;;;;;
45,0.0291547402740,Amp DC,.1,5.5,F,F,F,F,F,Front,F,Main,3.1997790336609,Volt DC,10,T,2W,F,F,04/27/2015,08:40:30,.287054800;;;;;;;;;;;;;;;;;;;;;;;;
46,0.0329796373844,Amp DC,.1,5.5,F,F,F,F,F,Front,F,Main,3.2497789859772,Volt DC,10,T,2W,F,F,04/27/2015,08:40:30,.370737300;;;;;;;;;;;;;;;;;;;;;;;;
47,0.0370355285704,Amp DC,.1,5.5,F,F,F,F,F,Front,F,Main,3.2995254993439,Volt DC,10,T,2W,F,F,04/27/2015,08:40:30,.454429800;;;;;;;;;;;;;;;;;;;;;;;;
48,0.0413628332317,Amp DC,.1,5.5,F,F,F,F,F,Front,F,Main,3.3495845794678,Volt DC,10,T,2W,F,F,04/27/2015,08:40:30,.538117800;;;;;;;;;;;;;;;;;;;;;;;;
49,0.0459234565496,Amp DC,.1,5.5,F,F,F,F,F,Front,F,Main,3.3995807170868,Volt DC,10,T,2W,F,F,04/27/2015,08:40:30,.621802300;;;;;;;;;;;;;;;;;;;;;;;;
50,0.0507241301239,Amp DC,.1,5.5,F,F,F,F,F,Front,F,Main,3.4496598243713,Volt DC,10,T,2W,F,F,04/27/2015,08:40:30,.705475800;;;;;;;;;;;;;;;;;;;;;;;;
51,0.0557403340936,Amp DC,.1,5.5,F,F,F,F,F,Front,F,Main,3.4996304512024,Volt DC,10,T,2W,F,F,04/27/2015,08:40:30,.789177522;;;;;;;;;;;;;;;;;;;;;;;;
